frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1609,person,0.271,28.34,0,[FAST MODE - HIGH CONF],165.61,left
1610,chair,0.649,11.96,0,[FAST MODE - HIGH CONF],123.22,left
1611,potted plant,0.264,5.57,0,[FAST MODE - TOO CLOSE],149.87,right
1612,chair,0.648,16.76,0,[FAST MODE - HIGH CONF],146.37,left
1613,chair,0.277,14.51,0,[FAST MODE - HIGH CONF],150.15,left
1614,chair,0.469,14.1,0,[FAST MODE - HIGH CONF],151.63,left
1615,chair,0.359,12.08,0,[FAST MODE - HIGH CONF],150.27,left
1616,chair,0.469,11.95,0,[FAST MODE - HIGH CONF],150.74,left
1617,chair,0.363,13.03,0,[FAST MODE - HIGH CONF],156.55,left
1618,chair,0.528,11.26,0,[FAST MODE - HIGH CONF],158.41,left
1619,person,0.295,26.96,0,[FAST MODE - HIGH CONF],162.01,left
1620,person,0.33,27.3,0,[FAST MODE - HIGH CONF],162.66,left
1621,person,0.258,27.79,0,[FAST MODE - HIGH CONF],164.43,left
1622,person,0.291,28.15,0,[FAST MODE - HIGH CONF],161.75,left
1623,bench,0.415,10.23,0,[FAST MODE - HIGH CONF],146.34,left
1624,chair,0.35,12.9,0,[FAST MODE - HIGH CONF],131.73,left
1625,chair,0.466,12.44,0,[FAST MODE - HIGH CONF],118.98,left
1626,chair,0.343,11.24,0,[FAST MODE - HIGH CONF],152.11,left
1627,chair,0.472,11.29,0,[FAST MODE - HIGH CONF],140.09,left
1628,person,0.293,28.18,0,[FAST MODE - HIGH CONF],139.86,left
1629,person,0.257,28.11,0,[FAST MODE - HIGH CONF],231.95,right
1630,person,0.255,28.16,0,[FAST MODE - HIGH CONF],128.02,left
1631,chair,0.277,10.23,0,[FAST MODE - HIGH CONF],145.53,left
1632,person,0.261,28.59,0,[FAST MODE - HIGH CONF],156.92,left
1633,person,0.277,26.82,0,[FAST MODE - HIGH CONF],171.79,left
1634,person,0.289,28.02,0,[FAST MODE - HIGH CONF],142.88,left
1635,chair,0.612,15.83,0,[FAST MODE - HIGH CONF],163.78,left
1636,person,0.275,27.75,0,[FAST MODE - HIGH CONF],157.34,right
1637,person,0.272,28.27,0,[FAST MODE - HIGH CONF],135.09,right
1638,person,0.305,27.1,0,[FAST MODE - HIGH CONF],149.5,left
1639,person,0.283,26.77,0,[FAST MODE - HIGH CONF],148.33,left
